price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime,changes
"128,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"138,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"143,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"153,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"108,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"118,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"161,40",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"185,30",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"119,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"129,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"128,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"138,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"143,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"153,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"108,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"118,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"161,40",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"185,30",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"119,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"129,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"128,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"138,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"143,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"153,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"108,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"118,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"161,40",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"185,30",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"128,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"138,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"143,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"153,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"108,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"118,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"161,40",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"185,30",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"119,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"129,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"128,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"138,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"143,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"153,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"108,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"118,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"161,40",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"185,30",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"119,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"129,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"128,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"138,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"143,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"153,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"108,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"118,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"161,40",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"185,30",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"119,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"129,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"128,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"138,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"143,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"153,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"163,70",Flexpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"187,80",Flexpreis Plus,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"108,90",Super Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"118,90",Sparpreis,E,0,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
