price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime
"128,90",Super Sparpreis,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"138,90",Sparpreis,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"168,00",Flexpreis,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"192,70",Flexpreis Plus,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"63,90",Super Sparpreis Young,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 06min,05:34,11:40,2
"71,90",Sparpreis Young,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 06min,05:34,11:40,2
"165,70",Flexpreis,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 06min,05:34,11:40,2
"190,10",Flexpreis Plus,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 06min,05:34,11:40,2
"63,90",Super Sparpreis Young,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"71,90",Sparpreis Young,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"168,00",Flexpreis,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"192,70",Flexpreis Plus,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"128,90",Super Sparpreis,Y,0,"Di.,01.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
