price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime
"41,15",Super Sparpreis Young,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"47,15",Sparpreis Young,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"81,85",Flexpreis,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"93,90",Flexpreis Plus,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"81,85",Flexpreis,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"93,90",Flexpreis Plus,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 39min,06:01,12:40,2
"47,90",Super Sparpreis Young,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"53,90",Sparpreis Young,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"80,70",Flexpreis,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"92,65",Flexpreis Plus,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 40min,06:30,13:10,3
"41,15",Super Sparpreis Young,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"47,15",Sparpreis Young,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"81,85",Flexpreis,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"93,90",Flexpreis Plus,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,8h 01min,06:30,14:31,1
"41,15",Super Sparpreis Young,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
"47,15",Sparpreis Young,Y,3,"So.,06.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 12min,05:28,12:40,1
