price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime,changes,searched tariffClass
"31,40",Super Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 32min,00:22,10:54,2,1
"37,40",Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 32min,00:22,10:54,2,1
"198,35",Flexpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 32min,00:22,10:54,2,1
"222,15",Flexpreis Plus,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,10h 32min,00:22,10:54,2,1
"25,40",Super Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 31min,04:28,10:59,1,1
"31,40",Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 31min,04:28,10:59,1,1
"198,35",Flexpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 31min,04:28,10:59,1,1
"222,15",Flexpreis Plus,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 31min,04:28,10:59,1,1
"25,40",Super Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 14min,05:34,11:48,2,1
"31,40",Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 14min,05:34,11:48,2,1
"198,35",Flexpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 14min,05:34,11:48,2,1
"222,15",Flexpreis Plus,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 14min,05:34,11:48,2,1
"25,40",Super Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,7h 18min,05:34,12:52,1,1
"31,40",Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,7h 18min,05:34,12:52,1,1
"198,35",Flexpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,7h 18min,05:34,12:52,1,1
"222,15",Flexpreis Plus,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,7h 18min,05:34,12:52,1,1
"41,90",Super Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 23min,06:29,12:52,2,1
"47,90",Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 23min,06:29,12:52,2,1
"198,35",Flexpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 23min,06:29,12:52,2,1
"222,15",Flexpreis Plus,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 23min,06:29,12:52,2,1
"41,90",Super Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 30min,06:29,12:59,1,1
"47,90",Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 30min,06:29,12:59,1,1
"198,35",Flexpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 30min,06:29,12:59,1,1
"222,15",Flexpreis Plus,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 30min,06:29,12:59,1,1
"83,90",Super Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,5h 44min,08:04,13:48,1,1
"92,90",Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,5h 44min,08:04,13:48,1,1
"198,35",Flexpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,5h 44min,08:04,13:48,1,1
"222,15",Flexpreis Plus,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,5h 44min,08:04,13:48,1,1
"64,40",Super Sparpreis,Y,1,"Fr.,27.01.2023",Berlin+Hbf,Bahnhof+ZOB%252C+Memmingen,6h 22min,08:29,14:51,2,1
