price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime,changes,searched tariffClass
"23,15",Super Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 22min,00:07,09:29,3,2
"27,65",Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 22min,00:07,09:29,3,2
"119,55",Flexpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 22min,00:07,09:29,3,2
"137,25",Flexpreis Plus,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 22min,00:07,09:29,3,2
"59,15",Super Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 08min,00:07,10:15,2,2
"65,15",Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 08min,00:07,10:15,2,2
"119,55",Flexpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 08min,00:07,10:15,2,2
"137,25",Flexpreis Plus,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 08min,00:07,10:15,2,2
"56,15",Super Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 27min,05:04,11:31,2,2
"62,15",Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 27min,05:04,11:31,2,2
"119,55",Flexpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 27min,05:04,11:31,2,2
"137,25",Flexpreis Plus,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 27min,05:04,11:31,2,2
"81,65",Super Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,06:11,11:53,1,2
"89,15",Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,06:11,11:53,1,2
"119,55",Flexpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,06:11,11:53,1,2
"137,25",Flexpreis Plus,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,06:11,11:53,1,2
"81,65",Super Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,07:06,13:29,2,2
"89,15",Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,07:06,13:29,2,2
"119,55",Flexpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,07:06,13:29,2,2
"137,25",Flexpreis Plus,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,07:06,13:29,2,2
"81,65",Super Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:06,13:53,1,2
"89,15",Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:06,13:53,1,2
"119,55",Flexpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:06,13:53,1,2
"137,25",Flexpreis Plus,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:06,13:53,1,2
"81,65",Super Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 38min,07:15,13:53,2,2
"89,15",Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 38min,07:15,13:53,2,2
"119,55",Flexpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 38min,07:15,13:53,2,2
"137,25",Flexpreis Plus,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 38min,07:15,13:53,2,2
"81,65",Super Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 11min,08:11,14:22,1,2
"89,15",Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 11min,08:11,14:22,1,2
"119,55",Flexpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 11min,08:11,14:22,1,2
"137,25",Flexpreis Plus,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 11min,08:11,14:22,1,2
"59,15",Super Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,09:00,15:29,1,2
"65,15",Sparpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,09:00,15:29,1,2
"119,55",Flexpreis,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,09:00,15:29,1,2
"137,25",Flexpreis Plus,E,2,"Sa.,24.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,09:00,15:29,1,2
