price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime,changes,searched tariffClass
"45,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,11h 02min,00:06,11:08,5,1
"53,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,11h 02min,00:06,11:08,5,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,11h 02min,00:06,11:08,5,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,11h 02min,00:06,11:08,5,1
"45,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,11h 03min,00:06,11:09,4,1
"53,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,11h 03min,00:06,11:09,4,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,11h 03min,00:06,11:09,4,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,11h 03min,00:06,11:09,4,1
"73,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 18min,04:50,12:08,1,1
"83,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 18min,04:50,12:08,1,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 18min,04:50,12:08,1,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 18min,04:50,12:08,1,1
"73,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 04min,05:04,12:08,2,1
"83,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 04min,05:04,12:08,2,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 04min,05:04,12:08,2,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 04min,05:04,12:08,2,1
"73,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 24min,05:41,13:05,2,1
"83,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 24min,05:41,13:05,2,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 24min,05:41,13:05,2,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 24min,05:41,13:05,2,1
"69,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,05:41,13:09,1,1
"79,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,05:41,13:09,1,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,05:41,13:09,1,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,05:41,13:09,1,1
"73,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 54min,06:11,13:05,3,1
"83,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 54min,06:11,13:05,3,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 54min,06:11,13:05,3,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 54min,06:11,13:05,3,1
"69,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,06:11,13:09,2,1
"79,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,06:11,13:09,2,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,06:11,13:09,2,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,06:11,13:09,2,1
"103,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 25min,06:41,14:06,1,1
"115,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 25min,06:41,14:06,1,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 25min,06:41,14:06,1,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 25min,06:41,14:06,1,1
"103,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,07:08,14:06,2,1
"115,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,07:08,14:06,2,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,07:08,14:06,2,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,07:08,14:06,2,1
"97,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 40min,07:08,14:48,1,1
"109,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 40min,07:08,14:48,1,1
"240,30",Flexpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 40min,07:08,14:48,1,1
"269,10",Flexpreis Plus,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 40min,07:08,14:48,1,1
"81,90",Super Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,08:11,15:09,2,1
"91,90",Sparpreis,Y,0,"Di.,29.11.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 58min,08:11,15:09,2,1
