price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime,changes,searched tariffClass
"45,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 22min,00:07,09:29,3,2
"51,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 22min,00:07,09:29,3,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 22min,00:07,09:29,3,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 22min,00:07,09:29,3,2
"41,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 50min,00:07,09:57,2,2
"47,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 50min,00:07,09:57,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 50min,00:07,09:57,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 50min,00:07,09:57,2,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 41min,04:50,11:31,1,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 41min,04:50,11:31,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 41min,04:50,11:31,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 41min,04:50,11:31,1,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 27min,05:04,11:31,2,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 27min,05:04,11:31,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 27min,05:04,11:31,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 27min,05:04,11:31,2,2
"88,90",Super Sparpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,06:11,11:53,1,2
"96,90",Sparpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,06:11,11:53,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,06:11,11:53,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,06:11,11:53,1,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 49min,06:40,13:29,1,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 49min,06:40,13:29,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 49min,06:40,13:29,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 49min,06:40,13:29,1,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,07:06,13:29,2,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,07:06,13:29,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,07:06,13:29,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,07:06,13:29,2,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:06,13:53,1,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:06,13:53,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:06,13:53,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 47min,07:06,13:53,1,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 53min,08:00,13:53,2,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 53min,08:00,13:53,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 53min,08:00,13:53,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 53min,08:00,13:53,2,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 11min,08:11,14:22,1,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 11min,08:11,14:22,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 11min,08:11,14:22,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 11min,08:11,14:22,1,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,09:00,15:29,1,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,09:00,15:29,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,09:00,15:29,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,09:00,15:29,1,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,09:08,15:29,2,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,09:08,15:29,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,09:08,15:29,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,09:08,15:29,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,10:11,15:53,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,10:11,15:53,1,2
"161,90",Super Sparpreis 1.Kl,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,10:11,15:53,1,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 31min,11:00,17:31,1,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 31min,11:00,17:31,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 31min,11:00,17:31,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 31min,11:00,17:31,1,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,11:08,17:31,2,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,11:08,17:31,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,11:08,17:31,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,11:08,17:31,2,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 45min,11:08,17:53,1,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 45min,11:08,17:53,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 45min,11:08,17:53,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 45min,11:08,17:53,1,2
"44,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 52min,12:01,17:53,2,2
"50,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 52min,12:01,17:53,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 52min,12:01,17:53,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 52min,12:01,17:53,2,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 14min,12:08,18:22,1,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 14min,12:08,18:22,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 14min,12:08,18:22,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 14min,12:08,18:22,1,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 31min,13:00,19:31,1,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 31min,13:00,19:31,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 31min,13:00,19:31,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 31min,13:00,19:31,1,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,13:08,19:31,2,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,13:08,19:31,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,13:08,19:31,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 23min,13:08,19:31,2,2
"122,90",Super Sparpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,14:11,19:53,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,14:11,19:53,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,5h 42min,14:11,19:53,1,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,15:00,21:29,1,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,15:00,21:29,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,15:00,21:29,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 29min,15:00,21:29,1,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,15:04,22:32,1,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,15:04,22:32,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,15:04,22:32,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,15:04,22:32,1,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,15:08,21:29,2,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,15:08,21:29,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,15:08,21:29,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 21min,15:08,21:29,2,2
"124,90",Super Sparpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 54min,15:17,23:11,3,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 54min,15:17,23:11,3,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 54min,15:17,23:11,3,2
"54,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,16:01,23:29,2,2
"62,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,16:01,23:29,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,16:01,23:29,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 28min,16:01,23:29,2,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 50min,17:00,23:50,1,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 50min,17:00,23:50,1,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 50min,17:00,23:50,1,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 50min,17:00,23:50,1,2
"52,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 38min,17:06,00:44,2,2
"60,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 38min,17:06,00:44,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 38min,17:06,00:44,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,7h 38min,17:06,00:44,2,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,12h 22min,17:13,05:35,3,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,12h 22min,17:13,05:35,3,2
"167,90",Super Sparpreis 1.Kl,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,12h 22min,17:13,05:35,3,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 31min,19:04,05:35,2,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,10h 31min,19:04,05:35,2,2
"62,90",Super Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 30min,21:02,06:32,3,2
"70,90",Sparpreis Young,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 30min,21:02,06:32,3,2
"130,70",Flexpreis,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 30min,21:02,06:32,3,2
"150,90",Flexpreis Plus,Y,0,"Do.,22.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 30min,21:02,06:32,3,2
