price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime,changes,searched tariffClass
"65,90",Super Sparpreis,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 31min,00:07,09:38,4,1
"74,90",Sparpreis,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 31min,00:07,09:38,4,1
"183,80",Flexpreis,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 31min,00:07,09:38,4,1
"205,85",Flexpreis Plus,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 31min,00:07,09:38,4,1
"62,90",Super Sparpreis,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 50min,00:07,09:57,2,1
"70,40",Sparpreis,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 50min,00:07,09:57,2,1
"183,80",Flexpreis,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 50min,00:07,09:57,2,1
"205,85",Flexpreis Plus,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,9h 50min,00:07,09:57,2,1
"25,40",Super Sparpreis,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 41min,04:50,11:31,1,1
"31,40",Sparpreis,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 41min,04:50,11:31,1,1
"183,80",Flexpreis,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 41min,04:50,11:31,1,1
"205,85",Flexpreis Plus,E,1,"Do.,15.12.2022",Bahnhof+ZOB%252C+Memmingen,Berlin+Hbf,6h 41min,04:50,11:31,1,1
