country;1900;1910;1920;1930;1940;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Afghanistan;5.021;5.351;5.814;NaN;7.034;NaN;7.752;7.839;7.935;8.038;8.15;8.27;8.398;8.535;8.68;8.833;8.995;9.165;9.344;9.532;9.729;9.935;10.149;10.369;10.6;10.85;11.121;11.413;11.717;12.023;12.316;12.583;12.831;13.056;13.223;13.283;13.211;12.997;12.667;12.279;11.913;11.63;11.439;11.338;11.376;11.608;12.068;12.789;13.746;14.824;15.87;16.773;17.482;18.034;18.511;19.038;19.702;20.531;21.487;22.507;23.5;24.4;25.184;25.878;26.529;27.207;27.962;28.809;29.727;30.682;31.628;32.527
Algeria;4.946;5.404;6.064;6.876;7.797;NaN;8.872;9.04;9.216;9.405;9.61;9.83;10.066;10.316;10.578;10.849;11.125;11.405;11.69;11.985;12.296;12.627;12.98;13.354;13.744;14.144;14.55;14.96;15.377;15.804;16.247;16.709;17.19;17.69;18.212;18.761;19.338;19.944;20.576;21.228;21.894;22.566;23.241;23.918;24.591;25.258;25.912;26.554;27.181;27.786;28.362;28.904;29.412;29.888;30.337;30.767;31.184;31.59;31.99;32.395;32.817;33.268;33.749;34.262;34.811;35.402;36.036;36.717;37.439;38.186;38.934;39.667
Angola;2.898;3.137;3.388;3.642;3.92;NaN;4.355;4.44;4.529;4.622;4.715;4.808;4.901;4.992;5.084;5.177;5.271;5.367;5.466;5.566;5.666;5.765;5.864;5.963;6.066;6.178;6.301;6.438;6.588;6.75;6.924;7.107;7.3;7.501;7.717;7.953;8.212;8.498;8.808;9.129;9.445;9.745;10.024;10.286;10.545;10.821;11.128;11.472;11.849;12.247;12.648;13.043;13.425;13.802;14.188;14.602;15.059;15.563;16.11;16.691;17.296;17.913;18.541;19.184;19.842;20.52;21.22;21.942;22.686;23.448;24.228;25.022
Argentina;4.757;6.853;8.885;11.898;14.201;NaN;17.15;17.507;17.866;18.224;18.579;18.929;19.275;19.615;19.951;20.286;20.619;20.953;21.288;21.622;21.954;22.283;22.609;22.932;23.261;23.606;23.973;24.366;24.783;25.213;25.645;26.067;26.477;26.879;27.278;27.685;28.106;28.543;28.994;29.455;29.921;30.389;30.857;31.326;31.796;32.264;32.73;33.194;33.655;34.111;34.558;34.995;35.42;35.834;36.242;36.648;37.057;37.472;37.889;38.309;38.729;39.145;39.559;39.97;40.382;40.799;41.223;41.656;42.095;42.538;42.98;43.417
Australia;3.744;4.408;5.345;6.474;7.052;NaN;8.177;8.418;8.627;8.822;9.015;9.213;9.421;9.637;9.859;10.08;10.292;10.495;10.691;10.893;11.115;11.368;11.657;11.976;12.306;12.621;12.905;13.151;13.364;13.552;13.725;13.893;14.055;14.212;14.369;14.532;14.708;14.898;15.101;15.318;15.549;15.791;16.047;16.315;16.586;16.849;17.097;17.326;17.538;17.738;17.932;18.125;18.318;18.513;18.709;18.907;19.107;19.309;19.514;19.735;19.985;20.274;20.606;20.976;21.37;21.771;22.163;22.542;22.911;23.27;23.622;23.969
Bangladesh;29.231;30.937;32.567;34.357;37.446;NaN;37.895;38.707;39.493;40.302;41.17;42.122;43.17;44.315;45.547;46.848;48.201;49.594;51.031;52.533;54.129;55.835;57.676;59.625;61.586;63.423;65.049;66.417;67.578;68.658;69.838;71.247;72.93;74.848;76.948;79.142;81.364;83.6;85.868;88.181;90.56;93.015;95.551;98.149;100.78;103.401;105.983;108.51;110.987;113.442;115.914;118.428;120.987;123.574;126.17;128.746;131.281;133.776;136.228;138.6;140.844;142.93;144.839;146.593;148.252;149.906;151.617;153.406;155.257;157.157;159.078;160.996
Belarus;4.917;5.39;5.91;6.476;7.097;NaN;7.745;7.718;7.711;7.724;7.756;7.804;7.866;7.939;8.019;8.104;8.19;8.274;8.357;8.439;8.521;8.607;8.695;8.785;8.874;8.959;9.039;9.113;9.182;9.246;9.306;9.366;9.423;9.479;9.535;9.593;9.654;9.72;9.788;9.857;9.925;9.991;10.054;10.113;10.166;10.206;10.232;10.241;10.235;10.216;10.19;10.16;10.127;10.091;10.051;10.005;9.952;9.892;9.826;9.759;9.696;9.641;9.594;9.556;9.526;9.505;9.492;9.488;9.491;9.497;9.5;9.496
Belgium;6.762;7.493;7.555;8.071;8.331;NaN;8.628;8.674;8.721;8.77;8.82;8.871;8.922;8.974;9.028;9.083;9.141;9.2;9.262;9.323;9.383;9.44;9.494;9.544;9.589;9.63;9.664;9.693;9.716;9.734;9.752;9.769;9.788;9.807;9.826;9.842;9.856;9.866;9.873;9.879;9.885;9.893;9.904;9.916;9.932;9.952;9.978;10.011;10.05;10.092;10.13;10.162;10.185;10.202;10.217;10.237;10.268;10.311;10.365;10.426;10.493;10.561;10.632;10.705;10.779;10.854;10.93;11.005;11.08;11.153;11.226;11.299
Benin;1.39;1.532;1.689;1.862;2.052;NaN;2.255;2.258;2.264;2.274;2.287;2.304;2.323;2.346;2.371;2.4;2.432;2.466;2.503;2.543;2.586;2.632;2.681;2.733;2.789;2.847;2.908;2.972;3.039;3.11;3.185;3.263;3.346;3.432;3.523;3.619;3.718;3.822;3.931;4.045;4.164;4.287;4.414;4.546;4.685;4.836;5.001;5.183;5.378;5.582;5.787;5.986;6.176;6.361;6.546;6.74;6.949;7.175;7.415;7.666;7.923;8.182;8.444;8.708;8.974;9.241;9.51;9.779;10.05;10.322;10.598;10.88
